tic gt tpeak labels pred_s0992
420470740.0 0 1808.8473133511702 0 0.00062391616
129906798.0 1 1796.1619698350148 1 0.99925685
265378806.0 0 1808.890429830143 0 0.012257141
82628548.0 0 1797.8481514412026 0 0.0017466955
255865349.0 1 1806.303667105101 1 0.99997354
291838547.0 1 1798.8281050338335 1 0.9999997
311939650.0 1 1799.3271621299639 1 0.99996364
22661968.0 1 1794.2244252462885 1 0.9999198
370211039.0 0 1805.5565950686348 0 0.00042525414
384816486.0 1 1795.244283047555 1 0.9999641
418031506.0 0 1805.2867270971421 0 0.00034025253
348637653.0 1 1796.0788254940674 1 0.99937636
29015282.0 0 1796.6414183806453 0 0.0060197664
358828514.0 1 1795.9926425323474 1 0.99998146
415900632.0 1 1794.0782802607062 1 0.9999678
402813493.0 0 1808.9100549239968 0 0.0014873714
117752371.0 1 1794.015539936822 1 0.99999964
335964619.0 1 1810.8220914741553 1 0.99997365
10242532.0 0 1805.3687872270852 0 0.00056632597
11329543.0 0 1812.4520543049825 0 0.0021448806
399764779.0 1 1794.8048604205253 1 0.999755
272823545.0 1 1794.847376284075 1 0.99998987
359039683.0 0 1805.2431641198953 0 0.0012515582
250896901.0 1 1799.619809280378 1 0.99999666
186610989.0 1 1810.7660235696937 1 0.9996543
279375974.0 0 1796.825173899428 0 0.00022889132
400349220.0 1 1797.597407686345 1 0.99915725
187031415.0 0 1805.536739119453 0 0.0014122878
241073627.0 0 1809.2025081899465 0 0.0020003752
286313280.0 1 1797.5370431436104 1 0.999983
285562017.0 0 1793.3281633879528 0 0.0002017384
350695632.0 1 1797.3661316642551 1 0.9996987
428529282.0 1 1810.430872719298 1 0.99999475
67571745.0 0 1812.3492901829852 0 0.0017567654
388036867.0 1 1798.1999567818923 1 0.9999377
407244881.0 1 1796.1182891186663 1 0.99997765
256925744.0 1 1793.9909798585998 1 0.9999807
275769141.0 0 1805.2855434557334 0 0.0009908176
445448646.0 0 1793.1402220651576 0 0.00012346025
232618861.0 1 1811.1348159555805 1 0.9999922
368379825.0 1 1806.263769186506 1 0.99982333
372630385.0 0 1805.535603354709 0 2.1830023e-05
13275758.0 1 1795.0342893544544 1 0.99999744
428531693.0 1 1810.6200272477945 1 0.9999672
370951651.0 0 1793.1402306086425 0 3.7613197e-05
238720199.0 1 1810.9321655956635 1 0.99962074
431855914.0 0 1812.411905244081 0 0.003489403
285512509.0 1 1793.7862161753621 1 0.98739076
83140795.0 1 1797.8683179117227 1 0.9999638
320189332.0 1 1795.1604178050998 1 0.99920726
29059895.0 0 1809.266470030146 0 0.003189985
372135269.0 0 1808.8877576535351 0 0.0002970593
